"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","....Basilan",70.00,74.00,69.00,63.00,38.00,36.00,..,..,..,..,..,..,..,..,..,0.06,2.47,61.38,64.15,65.04,60.69,55.68,48.54,44.45,33.50,24.70,21.45,18.59,13.14
"Abaca","....Lanao del Sur",989.00,1185.00,1018.00,1022.00,1340.00,1056.00,421.00,934.00,640.00,1085.70,992.07,738.41,1205.50,2005.00,2132.66,2047.57,1732.24,1736.70,1747.00,1770.00,1805.00,1730.00,1625.29,1695.72,1676.80,1701.45,1721.95,1728.81,1743.46
"Abaca","....Maguindanao",605.00,496.00,509.00,656.00,714.00,1115.00,1490.00,1171.00,1113.00,699.00,613.45,496.93,724.83,506.40,218.62,101.81,62.36,61.00,56.26,54.00,50.20,46.00,58.50,36.97,33.30,31.00,27.90,25.75,25.69
"Abaca","....Sulu",4225.00,4608.00,4570.00,3455.00,3742.00,3760.00,4402.00,4130.00,3340.00,3467.00,3343.44,4954.65,2072.99,1436.25,2540.48,2329.20,2803.17,2776.71,2910.05,2890.50,2850.40,3053.40,3154.00,3196.00,3152.00,3145.00,3084.00,2950.00,3016.00
"Abaca","....Tawi-tawi",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.97,1.31,1.74,1.96,1.85,1.67,1.40,1.42,1.30,1.34,1.15,0.94,0.77,0.69
"Cacao","PHILIPPINES",9848.06,9584.47,7536.58,7706.66,7944.64,7927.39,7895.48,7843.61,7386.83,7667.25,6627.82,6530.56,5802.77,5692.83,5648.33,5678.81,5414.63,5237.24,5148.88,5133.76,5019.43,4856.48,4831.34,4875.82,5427.66,6023.34,6262.77,7009.10,7983.20
"Cacao","..CORDILLERA ADMINISTRATIVE REGION (CAR)",47.52,41.00,21.82,8.39,8.67,5.99,6.03,5.95,5.68,5.66,7.22,13.94,12.49,13.32,12.92,13.39,13.68,14.04,13.38,14.03,13.77,14.00,14.53,21.12,27.73,31.03,30.93,22.40,27.15
"Cacao","....Abra",30.52,23.04,12.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Apayao",..,..,..,..,..,..,..,..,..,..,..,6.86,6.35,6.96,6.65,7.27,7.63,8.03,7.25,7.72,7.55,7.30,7.40,12.80,19.62,21.85,21.30,15.24,16.09
"Cacao","....Benguet",17.00,17.97,9.55,8.39,8.67,5.99,6.03,5.95,5.68,5.66,5.42,5.28,5.14,5.05,4.90,4.76,4.59,4.36,4.13,4.07,4.01,3.85,3.43,3.22,3.01,3.18,3.13,3.17,3.28
"Cacao","....Ifugao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cacao","....Kalinga",..,..,..,..,..,..,..,..,..,..,1.80,1.80,1.00,1.32,1.37,1.36,1.46,1.65,2.00,2.24,2.21,2.85,3.70,5.10,5.10,6.00,5.50,2.94,6.40
"Cacao","....Mountain Province",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.00,1.05,1.38
"Cacao","..REGION I (ILOCOS REGION)",86.10,85.19,82.00,57.49,57.07,52.75,52.43,52.06,50.85,51.20,51.68,52.12,52.53,53.77,52.87,47.41,47.91,47.65,50.20,48.55,46.25,44.85,42.29,39.19,40.10,40.01,40.36,41.86,45.88
"Cacao","....Ilocos Norte",5.75,4.96,4.89,4.24,4.10,4.01,4.01,3.29,2.97,3.30,3.26,3.43,3.02,3.30,3.18,3.77,3.93,4.23,5.71,6.23,6.52,7.01,7.82,8.03,8.28,8.51,9.35,9.68,10.08
"Cacao","....Ilocos Sur",4.50,5.16,5.15,4.17,3.88,3.49,3.18,3.18,3.18,3.40,2.69,2.05,1.95,1.86,1.54,3.38,4.19,4.12,4.30,4.76,5.10,5.30,5.32,5.39,5.59,5.98,6.62,6.50,6.77
"Cacao","....La Union",15.40,14.27,14.15,10.67,10.67,10.67,10.67,10.67,10.49,11.16,10.50,10.72,10.93,10.87,11.92,12.17,13.04,13.90,14.02,13.56,11.36,11.60,11.15,10.85,12.08,11.51,9.88,10.68,11.78
"Cacao","....Pangasinan",60.46,60.80,57.80,38.41,38.41,34.57,34.57,34.92,34.22,33.34,35.22,35.92,36.64,37.74,36.23,28.09,26.75,25.41,26.17,24.00,23.28,20.95,18.00,14.92,14.15,14.00,14.50,15.00,17.25
